Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
134,134,sdi_D_data_5_io,sdi_D_data_5_io,Right,Inside,4.99169580570774,31.5074865842968,1.3520205,-1.07325,5.6078,-3.68196,67,
135,135,VSS,VSS_R_13,Right,Outside,2.07848663631024,19.3081856657974,1.4384205,-1.03275,3.4,-1.72,68,
136,136,sdi_D_data_4_io,sdi_D_data_4_io,Right,Inside,4.95088030204531,29.2690319991328,1.3520205,-0.99225,5.67084,-3.41279,68,
137,137,VDD,VDD_R_12,Right,Outside,3.15400820977217,22.243898977159,1.4384205,-0.95175,4.35771,-2.1457,69,
138,138,misc_R_7_i,misc_R_7_i,Right,Inside,4.91300561540288,27.0128554202232,1.3520205,-0.91125,5.72904,-3.14269,69,
139,139,VSS,VSS_R_12,Right,Outside,2.03702471691441,15.6424560987552,1.4384205,-0.87075,3.4,-1.42,70,
140,140,sdi_D_sclk_io,sdi_D_sclk_io,Right,Inside,4.87809047879806,24.7400405204739,1.3520205,-0.83025,5.78238,-2.87174,70,
141,141,VDD,VDD_R_11,Right,Outside,3.12025970182135,18.080274182535,1.4384205,-0.78975,4.40461,-1.75812,71,
142,142,misc_R_6_i,misc_R_6_i,Right,Inside,4.84617812678715,22.4516092170229,1.3520205,-0.74925,5.83087,-2.60002,71,
143,143,VSS,VZZ_R_4,Right,Outside,2.00842492947091,12.3991300282735,1.4384205,-0.70875,3.4,-1.14,72,
144,144,sdi_D_token_o,sdi_D_token_o,Right,Inside,4.81730173437582,20.1491174711078,1.3520205,-0.66825,5.8745,-2.32764,72,
145,145,V33,V33_R_4,Right,Outside,3.97098662999137,18.4795745503959,1.4384205,-0.62775,5.20465,-1.88642,73,
146,146,misc_R_5_i,misc_R_5_i,Right,Inside,4.79148088896849,17.8336210972213,1.3520205,-0.58725,5.91327,-2.05466,73,
147,147,VSS,VSS_R_11,Right,Outside,2.00885532015629,12.4548427464369,1.4384205,-0.54675,3.4,-0.98,74,
148,148,sdi_D_ncmd_o,sdi_D_ncmd_o,Right,Inside,4.76873357756022,15.5066255738655,1.3520205,-0.50625,5.94717,-1.78117,74,
149,149,VDD,VDD_R_10,Right,Outside,3.10145034325076,13.2449965693,1.4384205,-0.46575,4.45737,-1.17634,75,
150,150,sdi_D_data_3_io,sdi_D_data_3_io,Right,Inside,4.74909938996861,13.1695055465036,1.3520205,-0.42525,5.97622,-1.50725,75,
151,151,VSS,VSS_R_10,Right,Outside,1.98518807605734,8.84510593040598,1.4384205,-0.38475,3.4,-0.69,76,
152,152,sdi_D_data_2_io,sdi_D_data_2_io,Right,Inside,4.7325776024932,10.8239531761802,1.3520205,-0.34425,6.0004,-1.23299,76,
153,153,VDD,VDD_R_9,Right,Outside,3.07969741381524,8.8611878698161,1.4384205,-0.30375,4.48136,-0.77815,77,
154,154,sdi_D_data_1_io,sdi_D_data_1_io,Right,Inside,4.71920632847095,8.47123750743454,1.3520205,-0.26325,6.01974,-0.95845,77,
